t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
79,canelones,1,0,844,-0.002207,0.53619,-6,estable,8,0.11936,0.05944,0.02636,0.05099,0.05196,0.05904,0.0594,0.04332
80,canelones,1,0,548,0.000105,0.71052,4,estable,8,0.13108,0.05853,0.05906,0.06786,0.05929,0.05933,0.06665,0.05975
81,canelones,1,0,3127,9e-06,0.90154,2,estable,8,0.09743,0.05141,0.04294,0.04284,0.04295,0.0507,0.05115,0.05147
82,canelones,1,0,1575,-0.001643,0.17355,-12,estable,8,0.12914,0.05899,0.06723,0.06577,0.05926,0.06698,0.05864,0.05912
83,canelones,1,3,329,-0.001737,0.26551,-10,estable,8,0.1347,0.05712,0.06459,0.06473,0.05663,0.05273,0.05702,0.05841
84,canelones,1,3,2537,-0.000463,0.71052,-4,estable,8,0.11412,0.05154,0.04408,0.0597,0.04896,0.05127,0.05658,0.05149
85,maldonado,1,2,732,-0.046946,0.38648,-8,estable,8,0.10542,0.02712,-0.39494,-0.34999,-0.37687,-0.42795,-0.28744,-0.33024
86,maldonado,1,2,918,-0.000177,0.53619,-6,estable,8,0.11124,0.06053,0.05663,0.06451,0.05658,0.05632,0.06046,0.06459
87,maldonado,1,0,3105,-0.002357,0.26551,-10,estable,8,0.09724,0.07399,0.05844,0.07414,0.06603,0.05873,0.06621,0.06585
88,maldonado,2,0,56,-0.007084,0.06349,-16,estable,8,0.17551,0.15765,0.09,0.14651,0.14277,0.12123,0.13493,0.11322
89,maldonado,1,0,286,-0.000154,0.90154,-2,estable,8,0.1151,0.08814,0.07226,0.09605,0.09132,0.08751,0.09559,0.09162
90,maldonado,1,0,1603,0.001298,0.90154,2,estable,8,0.10537,0.0819,0.07428,0.09751,0.09734,0.09003,0.08929,0.11319
91,maldonado,1,0,1885,0.001007,0.71052,4,estable,8,0.11303,0.08188,0.07415,0.08973,0.0901,0.08185,0.09008,0.10582
92,maldonado,1,0,271,0.002311,0.26551,10,estable,8,0.1701,0.18197,0.17276,0.16998,0.20893,0.17797,0.18135,0.19682
93,maldonado,1,0,914,-0.000341,0.90154,-2,estable,8,0.10538,0.06606,0.05911,0.07407,0.06428,0.0657,0.06834,0.06615
94,maldonado,1,0,351,-0.001178,0.90154,-2,estable,8,0.2611,0.23031,0.29408,0.2696,0.25533,0.25433,0.23192,0.27996
95,maldonado,1,0,490,-0.000917,0.71052,-4,estable,8,0.10544,0.06671,0.05953,0.07241,0.06442,0.06099,0.06857,0.06813
96,maldonado,1,0,42,0.000293,0.90154,2,estable,8,0.09284,0.05972,0.03725,0.06784,0.06143,0.06116,0.06852,0.06548
97,maldonado,2,0,1187,-0.000698,0.90154,-2,estable,8,0.11357,0.06658,0.06639,0.07643,0.06841,0.07401,0.07209,0.06848
98,maldonado,1,2,2085,2.3e-05,0.90154,2,estable,8,0.11344,0.06699,0.06617,0.0747,0.06703,0.06712,0.07394,0.07384
99,maldonado,1,1,1437,1.7e-05,0.90154,2,estable,8,0.12874,0.06721,0.06619,0.08175,0.07366,0.07357,0.07369,0.07372
100,maldonado,1,2,1425,-0.000185,0.17355,-12,estable,8,0.13079,0.07269,0.07242,0.08298,0.07263,0.07615,0.07242,0.07262
101,maldonado,1,0,1012,-4.9e-05,0.71052,-4,estable,8,0.12413,0.07638,0.07594,0.08503,0.07621,0.07621,0.08006,0.07996
102,maldonado,1,0,414,0.00053,0.53619,6,estable,8,0.13487,0.07248,0.07591,0.08419,0.07615,0.07623,0.07991,0.08387
103,maldonado,1,0,2670,0.000858,0.38648,8,estable,8,0.06805,0.06775,0.0689,0.08046,0.06883,0.0647,0.07284,0.07447
104,maldonado,1,0,1593,0.020376,0.26551,10,estable,8,-0.22312,-0.25361,-0.09225,-0.12214,-0.16613,-0.20155,-0.13124,0.02429
105,maldonado,1,0,1241,0.002192,0.03545,18,estable,8,0.03671,0.0647,0.06071,0.07724,0.06748,0.06862,0.06894,0.07327
106,maldonado,1,0,5148,-0.000143,0.10776,-14,estable,8,0.09023,0.07438,0.06702,0.08256,0.07408,0.07397,0.07376,0.07391
107,maldonado,1,2,2484,0.005342,0.03545,18,mejora,8,-0.02799,-0.01384,0.01666,-0.00876,0.02456,0.02883,-0.01055,0.03629
108,maldonado,1,2,8858,0.001086,0.26551,10,estable,8,0.059,0.04342,0.04371,0.05123,0.05928,0.05902,0.0591,0.05875
